origin_city,dest_city,bool_carrier_delay_min,bool_weather_delay_min,bool_traffic_delay_min,bool_security_delay_min,bool_late_aircraft_delay_min,is_late,cancelled,flight_number
"Atlanta, GA","Washington, DC",1233,79,1080,3,825,1983,105,10134
"Atlanta, GA","West Palm Beach/Palm Beach, FL",614,34,477,2,371,927,42,4199
"Atlanta, GA","White Plains, NY",205,24,192,1,71,311,19,1867
"Atlanta, GA","Wichita, KS",103,13,85,0,47,157,9,1039
"Atlanta, GA","Wilmington, NC",104,11,84,0,67,169,10,1292
"Atlantic City, NJ","Fort Lauderdale, FL",42,4,104,1,72,142,14,589
"Atlantic City, NJ","Fort Myers, FL",31,3,47,0,25,71,7,460
"Atlantic City, NJ","Myrtle Beach, SC",19,1,40,1,30,60,3,311
"Atlantic City, NJ","Orlando, FL",56,5,111,0,46,155,14,935
"Atlantic City, NJ","Tampa, FL",22,2,53,0,21,61,13,396
"Atlantic City, NJ","West Palm Beach/Palm Beach, FL",20,2,40,0,10,57,5,361
"Augusta, GA","Atlanta, GA",218,72,176,0,129,384,38,2172
"Augusta, GA","Austin, TX",2,0,2,0,2,3,0,5
"Augusta, GA","Boston, MA",0,1,3,0,2,3,0,13
"Augusta, GA","Charlotte, NC",113,28,159,0,129,254,29,1021
"Augusta, GA","Chicago, IL",2,0,2,0,3,3,0,12
"Augusta, GA","Dallas/Fort Worth, TX",45,9,31,2,67,85,10,373
"Augusta, GA","Detroit, MI",1,0,1,0,0,1,0,9
"Augusta, GA","Miami, FL",0,0,1,0,2,2,0,9
"Augusta, GA","New York, NY",4,0,2,0,5,7,0,30
"Augusta, GA","Orlando, FL",1,0,1,0,0,1,0,2
"Augusta, GA","Philadelphia, PA",3,0,5,0,5,5,0,13
"Augusta, GA","Phoenix, AZ",1,0,1,0,1,1,0,2
"Augusta, GA","Washington, DC",42,9,51,2,8,84,9,359
"Augusta, GA","West Palm Beach/Palm Beach, FL",1,0,0,0,0,1,0,2
"Austin, TX","Albuquerque, NM",72,3,56,1,104,123,3,740
"Austin, TX","Amarillo, TX",34,0,17,1,45,49,0,231
"Austin, TX","Asheville, NC",7,4,9,0,8,19,2,106
"Austin, TX","Aspen, CO",32,7,23,0,7,52,3,157
"Austin, TX","Atlanta, GA",379,33,308,3,506,717,36,4309
"Austin, TX","Augusta, GA",2,0,3,0,1,3,0,5
"Austin, TX","Baltimore, MD",135,5,100,0,170,220,9,1285
"Austin, TX","Boston, MA",227,15,177,1,219,373,14,1442
"Austin, TX","Bozeman, MT",2,1,2,1,1,6,1,23
"Austin, TX","Burbank, CA",76,1,44,0,88,109,0,452
"Austin, TX","Charleston, SC",24,2,12,0,30,35,0,151
"Austin, TX","Charlotte, NC",219,41,208,2,260,425,25,1911
"Austin, TX","Chicago, IL",423,34,414,15,530,834,36,4496
"Austin, TX","Cincinnati, OH",64,19,57,2,47,106,2,575
"Austin, TX","Cleveland, OH",24,4,28,0,39,47,3,111
"Austin, TX","Columbus, OH",59,1,37,1,66,82,1,351
"Austin, TX","Dallas, TX",193,12,202,6,342,449,35,2513
"Austin, TX","Dallas/Fort Worth, TX",516,114,654,7,625,1145,100,4913
