month,origin_city,dest_city,is_late,cancelled,flight_number
1,"Baltimore, MD","Nashville, TN",36,6,139
1,"Baltimore, MD","New Orleans, LA",23,3,70
1,"Baltimore, MD","New York, NY",16,3,56
1,"Baltimore, MD","Norfolk, VA",39,1,128
1,"Baltimore, MD","Oakland, CA",9,1,31
1,"Baltimore, MD","Orlando, FL",137,12,496
1,"Baltimore, MD","Phoenix, AZ",23,2,84
1,"Baltimore, MD","Pittsburgh, PA",20,4,95
1,"Baltimore, MD","Portland, ME",26,5,91
1,"Baltimore, MD","Providence, RI",40,7,142
1,"Baltimore, MD","Raleigh/Durham, NC",43,6,151
1,"Baltimore, MD","Rochester, NY",30,1,99
1,"Baltimore, MD","Salt Lake City, UT",18,0,62
1,"Baltimore, MD","San Antonio, TX",21,1,60
1,"Baltimore, MD","San Diego, CA",8,1,55
1,"Baltimore, MD","San Francisco, CA",2,15,31
1,"Baltimore, MD","San Juan, PR",49,2,139
1,"Baltimore, MD","Sarasota/Bradenton, FL",43,4,132
1,"Baltimore, MD","Savannah, GA",18,0,62
1,"Baltimore, MD","Seattle, WA",6,9,24
1,"Baltimore, MD","St. Louis, MO",20,4,93
1,"Baltimore, MD","Syracuse, NY",20,1,89
1,"Baltimore, MD","Tampa, FL",76,8,270
1,"Baltimore, MD","West Palm Beach/Palm Beach, FL",37,0,123
1,"Bangor, ME","New York, NY",13,7,87
1,"Bangor, ME","Newark, NJ",3,4,31
1,"Bangor, ME","Punta Gorda, FL",1,0,8
1,"Bangor, ME","Sanford, FL",2,0,14
1,"Bangor, ME","St. Petersburg, FL",1,0,11
1,"Bangor, ME","Washington, DC",14,12,89
1,"Barrow, AK","Anchorage, AK",9,8,30
1,"Baton Rouge, LA","Atlanta, GA",18,4,105
1,"Baton Rouge, LA","Charlotte, NC",15,2,62
1,"Baton Rouge, LA","Dallas/Fort Worth, TX",48,6,141
1,"Baton Rouge, LA","Houston, TX",15,3,53
1,"Baton Rouge, LA","Washington, DC",3,1,24
1,"Beaumont/Port Arthur, TX","Dallas/Fort Worth, TX",15,2,62
1,"Belleville, IL","Punta Gorda, FL",4,0,12
1,"Belleville, IL","Sanford, FL",2,0,11
1,"Belleville, IL","Sarasota/Bradenton, FL",2,1,9
1,"Belleville, IL","St. Petersburg, FL",2,1,12
1,"Belleville, IL","Valparaiso, FL",2,0,16
1,"Bellingham, WA","Denver, CO",1,0,3
1,"Bellingham, WA","Las Vegas, NV",10,1,72
1,"Bellingham, WA","Los Angeles, CA",1,0,8
1,"Bellingham, WA","Oakland, CA",7,1,40
1,"Bellingham, WA","Palm Springs, CA",0,0,9
1,"Bellingham, WA","Phoenix, AZ",1,0,10
1,"Bellingham, WA","Seattle, WA",21,0,62
1,"Bemidji, MN","Minneapolis, MN",18,0,61
1,"Bend/Redmond, OR","Denver, CO",17,5,62
1,"Bend/Redmond, OR","Los Angeles, CA",11,8,45
1,"Bend/Redmond, OR","Phoenix, AZ",15,3,79
1,"Bend/Redmond, OR","Salt Lake City, UT",19,7,69
1,"Bend/Redmond, OR","San Diego, CA",5,1,13
1,"Bend/Redmond, OR","San Francisco, CA",29,8,81
1,"Bend/Redmond, OR","Seattle, WA",33,15,141
1,"Bethel, AK","Anchorage, AK",23,2,60
1,"Billings, MT","Dallas/Fort Worth, TX",12,0,39
1,"Billings, MT","Denver, CO",14,2,62
1,"Billings, MT","Las Vegas, NV",3,1,9
1,"Billings, MT","Minneapolis, MN",6,0,31
1,"Billings, MT","Phoenix, AZ",16,1,50
1,"Billings, MT","Salt Lake City, UT",14,0,87
1,"Binghamton, NY","Detroit, MI",3,4,24
1,"Binghamton, NY","New York, NY",4,1,8
1,"Birmingham, AL","Atlanta, GA",30,2,224
1,"Birmingham, AL","Baltimore, MD",9,1,28
1,"Birmingham, AL","Charlotte, NC",36,8,182
1,"Birmingham, AL","Chicago, IL",12,8,76
1,"Birmingham, AL","Dallas, TX",20,2,63
1,"Birmingham, AL","Dallas/Fort Worth, TX",42,5,153
1,"Birmingham, AL","Denver, CO",16,1,93
1,"Birmingham, AL","Detroit, MI",4,1,27
1,"Birmingham, AL","Houston, TX",10,3,64
1,"Birmingham, AL","Las Vegas, NV",7,0,28
1,"Birmingham, AL","Miami, FL",10,2,62
1,"Birmingham, AL","New York, NY",16,6,92
1,"Birmingham, AL","Orlando, FL",18,0,66
1,"Birmingham, AL","Philadelphia, PA",8,0,31
1,"Birmingham, AL","Tampa, FL",9,0,35
1,"Birmingham, AL","Washington, DC",15,7,82
1,"Bishop, CA","Denver, CO",8,1,31
1,"Bishop, CA","San Francisco, CA",3,1,23
1,"Bismarck/Mandan, ND","Dallas/Fort Worth, TX",7,1,31
1,"Bismarck/Mandan, ND","Denver, CO",23,6,93
1,"Bismarck/Mandan, ND","Las Vegas, NV",2,2,9
1,"Bismarck/Mandan, ND","Minneapolis, MN",25,0,119
1,"Bismarck/Mandan, ND","Phoenix, AZ",7,1,20
1,"Bismarck/Mandan, ND","Sanford, FL",1,0,5
1,"Bloomington/Normal, IL","Atlanta, GA",20,4,62
1,"Bloomington/Normal, IL","Dallas/Fort Worth, TX",18,6,62
1,"Bloomington/Normal, IL","Sanford, FL",5,0,10
1,"Bloomington/Normal, IL","St. Petersburg, FL",1,1,9
